inputs_as_bytes,gswitch_recv_rate,tor_inbuffer_size,tor_send_rate,latency,gswitch_inbuffer_size,num_gswitches,use_multicast,in_network_computation,json,worker_send_rate,worker_inbuffer_size,step_num,num_ps,worker_recv_rate,num_workers,iteration_time,MTU,latency_std,ps_send_rate,on_same_rack,topology,gswitch_send_rate,tor_recv_rate,ps_inbuffer_size,gradient_size,trace_base_dir,timeout,ps_recv_rate,model_name,latency_distribution
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,3.5,-1,10,4,3.5,8,,120000.0,1.0,5.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,5.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,1,10.0,2,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,1,10.0,2,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,2,10.0,2,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,2,10.0,2,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,4,10.0,2,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,4,10.0,2,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,8,10.0,2,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,8,10.0,2,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,1,10.0,4,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,1,10.0,4,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,2,10.0,4,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,2,10.0,4,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,4,10.0,4,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,4,10.0,4,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,8,10.0,4,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,8,10.0,4,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,1,10.0,8,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,1,10.0,8,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,2,10.0,8,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,2,10.0,8,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,4,10.0,8,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,4,10.0,8,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,8,10.0,8,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,8,10.0,8,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,1,10.0,12,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,1,10.0,12,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,2,10.0,12,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,2,10.0,12,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,4,10.0,12,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,4,10.0,12,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,1,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,8,10.0,12,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
0,25.0,-1,25.0,1e-05,-1,4,0,0,json/inception-v3_param_ps_assignment.json,10.0,-1,10,8,10.0,12,,12000.0,1.0,10.0,1,,25.0,25.0,-1,0.0,csv/inception-v3/,3000.0,10.0,inception-v3,none
